	shenzhen-cxr	montgomery-cxr	diabetic retinopathy	chestx	bach	iChallenge-AMD	iChallenge-PM	chexpert
simclr-v1								
moco-v2	0.7923775315	0.7361002564	0.7223446965	0.7023655176	0.7351784706	0.5358718634	0.7652472258	0.6997789145
swav	0.8963406086	0.7491590977	0.7760756612	0.7736847997	0.8485251665	0.6351832151	0.8962868452	0.760910511
byol	0.9611212015	0.7617359161	0.6584239602	0.7592009306	0.8037381768	0.7257966399	0.7235792279	0.7708808184
pirl	0.7980712652	0.7631988525	0.6557899117	0.6821399927	0.6649489403	0.63405478	0.6420704126	0.7869896293								
supervised r50	0.8415985107	0.8902591467	0.4702373147	0.7641203403	0.3749659061	0.4595554471	0.5013532639	0.8027899265
supervised r18	0.8988408446	0.7588531971	0.5482892394	0.8023609519	0.6449824572	0.6810153723	0.8400782943	0.8244205713
supervised d121	0.5066581964	0.4531871378	0.334123522	0.3416948915	0.4873716235	0.2226623744	0.1917415559	0.2270145863								
mimic-chexpert lr=0.01	0.7939623594	0.453183949	0.4822744727	0.6548217535	0.5607266426	0.4656383693	0.4393080473	0.473188132
mimic-chexpert lr=0.1	0.7640755177	0.6320351362	0.7110737562	0.6857535243	0.7645729184	0.6245494485	0.8090019226	0.7210071087
mimic-chexpert lr=1.0	0.793917954	0.7014542818	0.6631001234	0.8095687628	0.7884937525	0.7371237874	0.8381792903	0.6380521655
mimic-cxr r18	0.7890390158	0.6319810152	0.6759578586	0.7158296704	0.7243839502	0.678989172	0.7060564756	0.7485869527
mimic-cxr d121	0.661911726	0.640873313	0.390471518	0.4678319395	0.4667006731	0.3065930903	0.428037107	0.4948908985
